"","Associatednumber","Sample","DNA_concentration_ng.uL","Station","StationNumber","Stromkilometer","Sample_type","Sample_date","Sat_O2_Perc","Temperature_TBDHereon","Salinity_PSU","Turbidity_NTU","pH","O2_uM","SPM_mgperL","DOC_mg.L","TN_mg.L","DIC_mg.L","Silicate_mg.L","Ammonium_mg.L","Nitrite_mg.L","Nitrate_mg.L","Total_DIN_uM","SRP_mgperL","TotalDissolvedPhosphate_mg.L","Ammonium_uM","Nitrite_uM","Nitrate_uM","SRP_uM","Phosphate_uM","Silicate_uM","DOC_uM.L","DIC_uM.L","RespirationRate_O2ug.L.h","POC_mgperL","PTC_mgperL","PTN_mgperL","PTH_mgperL","TEP_um2perL","CSP_um2perL","ParticleArea_um2perL","dCH4_uM","dCH4_nM","dCO2_uM","dCO2_nM","sampleid","AccessionNumber_TBDSven","data_type"
"58",30,"TF1",2.04,"Twielenfleth",3,651.955,"Free_living","May-21",66.33,10.87,0.47,102.68,7.79,229.39,326.4,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290278_METAT.genecount.profile","SAMEA110290278","METAT"
"59",31,"TF2",6,"Twielenfleth",3,651.955,"Free_living","May-21",66.33,10.87,0.47,102.68,7.79,229.39,326.4,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290279_METAG.genecount.profile","SAMEA110290279","METAG"
"60",31,"TF2",6,"Twielenfleth",3,651.955,"Free_living","May-21",66.33,10.87,0.47,102.68,7.79,229.39,326.4,8.8185,2.2505,28.025,NA,0.301,0.114,96.88,97.29,NA,NA,0.301,0.114,96.88,NA,0.871,16.421,734.2203202,2333.336109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290279_METAT.genecount.profile","SAMEA110290279","METAT"
"61",32,"BbL1",13,"Brunsbuttel",5,692.01,"Light_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,11.76666667,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,1.762492909,2.904431212,3.997275004,1.66921334,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290280_METAG.genecount.profile","SAMEA110290280","METAG"
"62",32,"BbL1",13,"Brunsbuttel",5,692.01,"Light_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,11.76666667,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,1.762492909,2.904431212,3.997275004,1.66921334,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290280_METAT.genecount.profile","SAMEA110290280","METAT"
"63",33,"BbL2",7.4,"Brunsbuttel",5,692.01,"Light_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,11.76666667,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,2.096335577,3.341372351,1.653503097,1.37464628,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290281_METAG.genecount.profile","SAMEA110290281","METAG"
"64",33,"BbL2",7.4,"Brunsbuttel",5,692.01,"Light_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,11.76666667,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,2.096335577,3.341372351,1.653503097,1.37464628,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290281_METAT.genecount.profile","SAMEA110290281","METAT"
"65",34,"BbH1",16,"Brunsbuttel",5,692.01,"Heavy_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,12.9,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,1.898975647,2.871046945,0.988763431,1.17826824,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290282_METAT.genecount.profile","SAMEA110290282","METAT"
"66",34,"BbH1",16,"Brunsbuttel",5,692.01,"Heavy_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,12.9,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,1.898975647,2.871046945,0.988763431,1.17826824,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290282_METAG.genecount.profile","SAMEA110290282","METAG"
"67",35,"BbH2",25,"Brunsbuttel",5,692.01,"Heavy_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,12.9,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,2.189615146,3.505348014,1.578879442,1.27645726,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290283_METAG.genecount.profile","SAMEA110290283","METAG"
"68",35,"BbH2",25,"Brunsbuttel",5,692.01,"Heavy_fraction","May-21",79.11,10.63,1.3,63.01,8,274.68,12.9,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,2.189615146,3.505348014,1.578879442,1.27645726,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290283_METAT.genecount.profile","SAMEA110290283","METAT"
"69",36,"BbF1",2.05,"Brunsbuttel",5,692.01,"Free_living","May-21",79.11,10.63,1.3,63.01,8,274.68,89.25,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290284_METAT.genecount.profile","SAMEA110290284","METAT"
"70",36,"BbF1",2.05,"Brunsbuttel",5,692.01,"Free_living","May-21",79.11,10.63,1.3,63.01,8,274.68,89.25,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290284_METAG.genecount.profile","SAMEA110290284","METAG"
"71",37,"BbF2",2.06,"Brunsbuttel",5,692.01,"Free_living","May-21",79.11,10.63,1.3,63.01,8,274.68,89.25,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290285_METAT.genecount.profile","SAMEA110290285","METAT"
"72",37,"BbF2",2.06,"Brunsbuttel",5,692.01,"Free_living","May-21",79.11,10.63,1.3,63.01,8,274.68,89.25,8.0185,2.4975,22.885,NA,0.362,0.066,95.78,96.21,NA,NA,0.362,0.066,95.78,NA,1.009,34.905,667.613045,1905.384366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290285_METAG.genecount.profile","SAMEA110290285","METAG"
"73",39,"ML1",78,"Muhlenberger Loch",2,632.884,"Light_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,17,6.818,1.163,18.36,NA,0.058,0.068,2.527,189.021,0.081,0.079143,1.876,2.849,184.296,NA,2.653,147.606,567.6605027,1528.636965,NA,1.759547238,2.097317467,2.930942247,0.88370118,104562270452629,355262571395429,246454567461291,NA,NA,NA,NA,"GROS22.1_SAMEA110290286_METAG.genecount.profile","SAMEA110290286","METAG"
"74",39,"ML1",78,"Muhlenberger Loch",2,632.884,"Light_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,17,6.818,1.163,18.36,NA,0.058,0.068,2.527,189.021,0.081,0.079143,1.876,2.849,184.296,NA,2.653,147.606,567.6605027,1528.636965,NA,1.759547238,2.097317467,2.930942247,0.88370118,104562270452629,355262571395429,246454567461291,NA,NA,NA,NA,"GROS22.1_SAMEA110290286_METAT.genecount.profile","SAMEA110290286","METAT"
"75",40,"ML2",4.56,"Muhlenberger Loch",2,632.884,"Light_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,17,6.447,0.9963,16.45,NA,0.046,0.046,1.786,189.021,0.07,0.081975,1.876,2.849,184.296,NA,2.653,147.606,536.7713789,1369.612096,NA,1.551386516,2.005019788,2.366355382,0.78551216,104562270452629,355262571395429,246454567461291,NA,NA,NA,NA,"GROS22.1_SAMEA110290287_METAG.genecount.profile","SAMEA110290287","METAG"
"76",40,"ML2",4.56,"Muhlenberger Loch",2,632.884,"Light_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,17,6.447,0.9963,16.45,NA,0.046,0.046,1.786,189.021,0.07,0.081975,1.876,2.849,184.296,NA,2.653,147.606,536.7713789,1369.612096,NA,1.551386516,2.005019788,2.366355382,0.78551216,104562270452629,355262571395429,246454567461291,NA,NA,NA,NA,"GROS22.1_SAMEA110290287_METAT.genecount.profile","SAMEA110290287","METAT"
"77",41,"MH1",22,"Muhlenberger Loch",2,632.884,"Heavy_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,21,6.818,1.163,18.36,NA,0.058,0.068,2.527,189.021,0.081,0.079143,1.876,2.849,184.296,NA,2.653,147.606,567.6605027,1528.636965,NA,1.81846065,2.150339538,3.424833018,0.88370118,817390440436476,948327708015642,431882491423877,NA,NA,NA,NA,"GROS22.1_SAMEA110290288_METAG.genecount.profile","SAMEA110290288","METAG"
"78",41,"MH1",22,"Muhlenberger Loch",2,632.884,"Heavy_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,21,6.818,1.163,18.36,NA,0.058,0.068,2.527,189.021,0.081,0.079143,1.876,2.849,184.296,NA,2.653,147.606,567.6605027,1528.636965,NA,1.81846065,2.150339538,3.424833018,0.88370118,817390440436476,948327708015642,431882491423877,NA,NA,NA,NA,"GROS22.1_SAMEA110290288_METAT.genecount.profile","SAMEA110290288","METAT"
"79",42,"MH2",35,"Muhlenberger Loch",2,632.884,"Heavy_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,21,6.447,0.9963,16.45,NA,0.046,0.046,1.786,189.021,0.07,0.081975,1.876,2.849,184.296,NA,2.653,147.606,536.7713789,1369.612096,NA,1.771329921,2.194524597,3.33940857,0.88370118,817390440436476,948327708015642,431882491423877,NA,NA,NA,NA,"GROS22.1_SAMEA110290289_METAT.genecount.profile","SAMEA110290289","METAT"
"80",42,"MH2",35,"Muhlenberger Loch",2,632.884,"Heavy_fraction","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,21,6.447,0.9963,16.45,NA,0.046,0.046,1.786,189.021,0.07,0.081975,1.876,2.849,184.296,NA,2.653,147.606,536.7713789,1369.612096,NA,1.771329921,2.194524597,3.33940857,0.88370118,817390440436476,948327708015642,431882491423877,NA,NA,NA,NA,"GROS22.1_SAMEA110290289_METAG.genecount.profile","SAMEA110290289","METAG"
"81",43,"MF1",45,"Muhlenberger Loch",2,632.884,"Free_living","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,NA,6.818,1.163,18.36,NA,0.058,0.068,2.527,189.021,0.081,0.079143,1.876,2.849,184.296,NA,2.653,147.606,567.6605027,1528.636965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290290_METAG.genecount.profile","SAMEA110290290","METAG"
"82",43,"MF1",45,"Muhlenberger Loch",2,632.884,"Free_living","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,NA,6.818,1.163,18.36,NA,0.058,0.068,2.527,189.021,0.081,0.079143,1.876,2.849,184.296,NA,2.653,147.606,567.6605027,1528.636965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290290_METAT.genecount.profile","SAMEA110290290","METAT"
"83",44,"MF2",7,"Muhlenberger Loch",2,632.884,"Free_living","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,NA,6.447,0.9963,16.45,NA,0.046,0.046,1.786,189.021,0.07,0.081975,1.876,2.849,184.296,NA,2.653,147.606,536.7713789,1369.612096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290291_METAT.genecount.profile","SAMEA110290291","METAT"
"84",44,"MF2",7,"Muhlenberger Loch",2,632.884,"Free_living","Jul-21",56.63,22.11,0.32,37.71,7.51,153.78,NA,6.447,0.9963,16.45,NA,0.046,0.046,1.786,189.021,0.07,0.081975,1.876,2.849,184.296,NA,2.653,147.606,536.7713789,1369.612096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290291_METAG.genecount.profile","SAMEA110290291","METAG"
"85",45,"SchL1",4.62,"Schwarztonnensand",4,665.414,"Light_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,38.25,4.55,0.7296,13.44,NA,0.026,0.006,2.317,170.52,0.093,0.111125,0.372,0.122,170.026,NA,2.804,114.43,378.8288776,1119.002223,NA,3.885339521,6.13779564,2.139538746,1.9637804,29087265762592,244808244577777,207266030590974,NA,NA,NA,NA,"GROS22.1_SAMEA110290292_METAG.genecount.profile","SAMEA110290292","METAG"
"86",45,"SchL1",4.62,"Schwarztonnensand",4,665.414,"Light_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,38.25,4.55,0.7296,13.44,NA,0.026,0.006,2.317,170.52,0.093,0.111125,0.372,0.122,170.026,NA,2.804,114.43,378.8288776,1119.002223,NA,3.885339521,6.13779564,2.139538746,1.9637804,29087265762592,244808244577777,207266030590974,NA,NA,NA,NA,"GROS22.1_SAMEA110290292_METAT.genecount.profile","SAMEA110290292","METAT"
"87",46,"SchL2",19,"Schwarztonnensand",4,665.414,"Light_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,38.25,4.498,0.6619,14.04,NA,0.023,0.006,1.429,170.52,0.09,0.09477,0.372,0.122,170.026,NA,2.804,114.43,374.4994047,1168.957679,NA,2.907376882,4.052260855,3.19016126,1.9637804,29087265762592,244808244577777,207266030590974,NA,NA,NA,NA,"GROS22.1_SAMEA110290293_METAT.genecount.profile","SAMEA110290293","METAT"
"88",46,"SchL2",19,"Schwarztonnensand",4,665.414,"Light_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,38.25,4.498,0.6619,14.04,NA,0.023,0.006,1.429,170.52,0.09,0.09477,0.372,0.122,170.026,NA,2.804,114.43,374.4994047,1168.957679,NA,2.907376882,4.052260855,3.19016126,1.9637804,29087265762592,244808244577777,207266030590974,NA,NA,NA,NA,"GROS22.1_SAMEA110290293_METAG.genecount.profile","SAMEA110290293","METAG"
"89",47,"SchH1",112,"Schwarztonnensand",4,665.414,"Heavy_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,55,4.55,0.7296,13.44,NA,0.026,0.006,2.317,170.52,0.093,0.111125,0.372,0.122,170.026,NA,2.804,114.43,378.8288776,1119.002223,NA,2.435087696,4.312461758,3.34039046,1.9637804,222815001182932,51150431450655,333502480197381,NA,NA,NA,NA,"GROS22.1_SAMEA110290294_METAG.genecount.profile","SAMEA110290294","METAG"
"90",47,"SchH1",112,"Schwarztonnensand",4,665.414,"Heavy_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,55,4.55,0.7296,13.44,NA,0.026,0.006,2.317,170.52,0.093,0.111125,0.372,0.122,170.026,NA,2.804,114.43,378.8288776,1119.002223,NA,2.435087696,4.312461758,3.34039046,1.9637804,222815001182932,51150431450655,333502480197381,NA,NA,NA,NA,"GROS22.1_SAMEA110290294_METAT.genecount.profile","SAMEA110290294","METAT"
"91",48,"SchH2",38,"Schwarztonnensand",4,665.414,"Heavy_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,55,4.498,0.6619,14.04,NA,0.023,0.006,1.429,170.52,0.09,0.09477,0.372,0.122,170.026,NA,2.804,114.43,374.4994047,1168.957679,NA,3.209799064,5.025314044,3.081171448,2.06196942,222815001182932,51150431450655,333502480197381,NA,NA,NA,NA,"GROS22.1_SAMEA110290295_METAT.genecount.profile","SAMEA110290295","METAT"
"92",48,"SchH2",38,"Schwarztonnensand",4,665.414,"Heavy_fraction","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,55,4.498,0.6619,14.04,NA,0.023,0.006,1.429,170.52,0.09,0.09477,0.372,0.122,170.026,NA,2.804,114.43,374.4994047,1168.957679,NA,3.209799064,5.025314044,3.081171448,2.06196942,222815001182932,51150431450655,333502480197381,NA,NA,NA,NA,"GROS22.1_SAMEA110290295_METAG.genecount.profile","SAMEA110290295","METAG"
"93",49,"SchF1",5.5,"Schwarztonnensand",4,665.414,"Free_living","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,NA,4.55,0.7296,13.44,NA,0.026,0.006,2.317,170.52,0.093,0.111125,0.372,0.122,170.026,NA,2.804,114.43,378.8288776,1119.002223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290296_METAG.genecount.profile","SAMEA110290296","METAG"
"94",49,"SchF1",5.5,"Schwarztonnensand",4,665.414,"Free_living","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,NA,4.55,0.7296,13.44,NA,0.026,0.006,2.317,170.52,0.093,0.111125,0.372,0.122,170.026,NA,2.804,114.43,378.8288776,1119.002223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290296_METAT.genecount.profile","SAMEA110290296","METAT"
"95",50,"SchF2",4.56,"Schwarztonnensand",4,665.414,"Free_living","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,NA,4.498,0.6619,14.04,NA,0.023,0.006,1.429,170.52,0.09,0.09477,0.372,0.122,170.026,NA,2.804,114.43,374.4994047,1168.957679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290297_METAT.genecount.profile","SAMEA110290297","METAT"
"96",50,"SchF2",4.56,"Schwarztonnensand",4,665.414,"Free_living","Jul-21",63.44,22.75,0.48,33.2,7.69,170.12,NA,4.498,0.6619,14.04,NA,0.023,0.006,1.429,170.52,0.09,0.09477,0.372,0.122,170.026,NA,2.804,114.43,374.4994047,1168.957679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290297_METAG.genecount.profile","SAMEA110290297","METAG"
"97",51,"MGL1",11,"Meedem Grund",6,714.975,"Light_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,26.75,3.234,0.5336,14.41,NA,0.01,0.004,0.898,144.328,0.055,0.082876,1.145,0.713,142.47,NA,3.701,77.02,269.2599099,1199.763544,NA,1.911740219,2.167031671,3.121428946,1.66921334,122061671804964,246714867469455,845140520097446,NA,NA,NA,NA,"GROS22.1_SAMEA110290298_METAG.genecount.profile","SAMEA110290298","METAG"
"98",51,"MGL1",11,"Meedem Grund",6,714.975,"Light_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,26.75,3.234,0.5336,14.41,NA,0.01,0.004,0.898,144.328,0.055,0.082876,1.145,0.713,142.47,NA,3.701,77.02,269.2599099,1199.763544,NA,1.911740219,2.167031671,3.121428946,1.66921334,122061671804964,246714867469455,845140520097446,NA,NA,NA,NA,"GROS22.1_SAMEA110290298_METAT.genecount.profile","SAMEA110290298","METAT"
"99",52,"MGL2",15,"Meedem Grund",6,714.975,"Light_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,26.75,4.088,0.6147,16.75,NA,0.012,0.01,1.433,144.328,0.062,0.078424,1.145,0.713,142.47,NA,3.701,77.02,340.3631762,1394.589824,NA,2.21023484,3.19016126,2.086516675,1.4728353,122061671804964,246714867469455,845140520097446,NA,NA,NA,NA,"GROS22.1_SAMEA110290299_METAG.genecount.profile","SAMEA110290299","METAG"
"100",52,"MGL2",15,"Meedem Grund",6,714.975,"Light_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,26.75,4.088,0.6147,16.75,NA,0.012,0.01,1.433,144.328,0.062,0.078424,1.145,0.713,142.47,NA,3.701,77.02,340.3631762,1394.589824,NA,2.21023484,3.19016126,2.086516675,1.4728353,122061671804964,246714867469455,845140520097446,NA,NA,NA,NA,"GROS22.1_SAMEA110290299_METAT.genecount.profile","SAMEA110290299","METAT"
"101",53,"MGH1",134,"Meedem Grund",6,714.975,"Heavy_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,34,3.234,0.5336,14.41,NA,0.01,0.004,0.898,144.328,0.055,0.082876,1.145,0.713,142.47,NA,3.701,77.02,269.2599099,1199.763544,NA,3.195070711,3.809733976,1.946106376,1.4728353,773053422647458,804317367610735,135588354983848,NA,NA,NA,NA,"GROS22.1_SAMEA110290300_METAT.genecount.profile","SAMEA110290300","METAT"
"102",53,"MGH1",134,"Meedem Grund",6,714.975,"Heavy_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,34,3.234,0.5336,14.41,NA,0.01,0.004,0.898,144.328,0.055,0.082876,1.145,0.713,142.47,NA,3.701,77.02,269.2599099,1199.763544,NA,3.195070711,3.809733976,1.946106376,1.4728353,773053422647458,804317367610735,135588354983848,NA,NA,NA,NA,"GROS22.1_SAMEA110290300_METAG.genecount.profile","SAMEA110290300","METAG"
"103",54,"MGH2",16,"Meedem Grund",6,714.975,"Heavy_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,34,4.088,0.6147,16.75,NA,0.012,0.01,1.433,144.328,0.062,0.078424,1.145,0.713,142.47,NA,3.701,77.02,340.3631762,1394.589824,NA,2.806242192,3.478836979,1.787040164,1.37464628,773053422647458,804317367610735,135588354983848,NA,NA,NA,NA,"GROS22.1_SAMEA110290301_METAG.genecount.profile","SAMEA110290301","METAG"
"104",54,"MGH2",16,"Meedem Grund",6,714.975,"Heavy_fraction","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,34,4.088,0.6147,16.75,NA,0.012,0.01,1.433,144.328,0.062,0.078424,1.145,0.713,142.47,NA,3.701,77.02,340.3631762,1394.589824,NA,2.806242192,3.478836979,1.787040164,1.37464628,773053422647458,804317367610735,135588354983848,NA,NA,NA,NA,"GROS22.1_SAMEA110290301_METAT.genecount.profile","SAMEA110290301","METAT"
"105",55,"MGF1",2.01,"Meedem Grund",6,714.975,"Free_living","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,NA,3.234,0.5336,14.41,NA,0.01,0.004,0.898,144.328,0.055,0.082876,1.145,0.713,142.47,NA,3.701,77.02,269.2599099,1199.763544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290302_METAG.genecount.profile","SAMEA110290302","METAG"
"106",55,"MGF1",2.01,"Meedem Grund",6,714.975,"Free_living","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,NA,3.234,0.5336,14.41,NA,0.01,0.004,0.898,144.328,0.055,0.082876,1.145,0.713,142.47,NA,3.701,77.02,269.2599099,1199.763544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290302_METAT.genecount.profile","SAMEA110290302","METAT"
"107",56,"MGF2",5.7,"Meedem Grund",6,714.975,"Free_living","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,NA,4.088,0.6147,16.75,NA,0.012,0.01,1.433,144.328,0.062,0.078424,1.145,0.713,142.47,NA,3.701,77.02,340.3631762,1394.589824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290303_METAG.genecount.profile","SAMEA110290303","METAG"
"108",56,"MGF2",5.7,"Meedem Grund",6,714.975,"Free_living","Jul-21",75.97,21.67,5.02,21.69,7.91,202.39,NA,4.088,0.6147,16.75,NA,0.012,0.01,1.433,144.328,0.062,0.078424,1.145,0.713,142.47,NA,3.701,77.02,340.3631762,1394.589824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290303_METAT.genecount.profile","SAMEA110290303","METAT"
"109",57,"TL1",11,"Twielenfleth",3,651.323,"Light_fraction","Jul-21",57.16,21.97,0.4,26.49,7.58,155.6,31,0.3657,0.00274,13.02,NA,0.041,0.007,2.178,188.552,0.099,0.107493,0.463,0.289,187.8,NA,3.048,133.25,30.44785067,1084.033404,NA,1.712416509,2.312351421,1.855772478,0.88370118,307477856241752,929277821090811,305548211949835,NA,NA,NA,NA,"GROS22.1_SAMEA110290304_METAT.genecount.profile","SAMEA110290304","METAT"
"110",57,"TL1",11,"Twielenfleth",3,651.323,"Light_fraction","Jul-21",57.16,21.97,0.4,26.49,7.58,155.6,31,0.3657,0.00274,13.02,NA,0.041,0.007,2.178,188.552,0.099,0.107493,0.463,0.289,187.8,NA,3.048,133.25,30.44785067,1084.033404,NA,1.712416509,2.312351421,1.855772478,0.88370118,307477856241752,929277821090811,305548211949835,NA,NA,NA,NA,"GROS22.1_SAMEA110290304_METAG.genecount.profile","SAMEA110290304","METAG"
"111",58,"TL2",24,"Twielenfleth",3,651.323,"Light_fraction","Jul-21",57.16,21.97,0.4,26.49,7.58,155.6,31,6.9,1.173,18.86,NA,0.046,0.006,2.042,188.552,0.086,0.091807,0.463,0.289,187.8,NA,3.048,133.25,574.4877484,1570.266512,NA,1.674122791,1.928432353,1.715362179,0.88370118,307477856241752,929277821090811,305548211949835,NA,NA,NA,NA,"GROS22.1_SAMEA110290305_METAG.genecount.profile","SAMEA110290305","METAG"
"112",58,"TL2",24,"Twielenfleth",3,651.323,"Light_fraction","Jul-21",57.16,21.97,0.4,26.49,7.58,155.6,31,6.9,1.173,18.86,NA,0.046,0.006,2.042,188.552,0.086,0.091807,0.463,0.289,187.8,NA,3.048,133.25,574.4877484,1570.266512,NA,1.674122791,1.928432353,1.715362179,0.88370118,307477856241752,929277821090811,305548211949835,NA,NA,NA,NA,"GROS22.1_SAMEA110290305_METAT.genecount.profile","SAMEA110290305","METAT"
"113",59,"TH1",21,"Twielenfleth",3,651.323,"Heavy_fraction","Jul-21",57.16,21.97,0.4,26.49,7.58,155.6,32,0.3657,0.00274,13.02,NA,0.041,0.007,2.178,188.552,0.099,0.107493,0.463,0.289,187.8,NA,3.048,133.25,30.44785067,1084.033404,NA,2.102226918,2.328061664,1.514074688,1.08007922,681153681759145,549780595906012,507099266861864,NA,NA,NA,NA,"GROS22.1_SAMEA110290306_METAT.genecount.profile","SAMEA110290306","METAT"
"114",59,"TH1",21,"Twielenfleth",3,651.323,"Heavy_fraction","Jul-21",57.16,21.97,0.4,26.49,7.58,155.6,32,0.3657,0.00274,13.02,NA,0.041,0.007,2.178,188.552,0.099,0.107493,0.463,0.289,187.8,NA,3.048,133.25,30.44785067,1084.033404,NA,2.102226918,2.328061664,1.514074688,1.08007922,681153681759145,549780595906012,507099266861864,NA,NA,NA,NA,"GROS22.1_SAMEA110290306_METAG.genecount.profile","SAMEA110290306","METAG"
